A,,,,,
bot_memorydump,C,0,bot_memorydump [0|1],Displays bot memory allocation when debugging.,
bot_minplayers,S,0,bot_minplayers [minimum # of players],Balances the number of players playing in a server by replacing players who disconnect with bots.,
bot_nochat,-,0,bot_nochat [0|1],Disables bot chat.,
bot_pause,C,0,"bot_pause [0|1]
0 = active bots
1 = paused bots",A debug command to pause bots.,
bot_predictobstacles,-,1,bot_predictobstacles [0|1],Enables bot obstacle prediction.,
bot_reachability,-,0,bot_reachability [0|1],Bot reachability calculation,
bot_reloadcharacters,-,0,bot_reloadcharacters [0|1],Bot character file caching.,
bot_report,C,0,bot_report [0|1],Debug command to get bots to report on what they are doing.,
bot_rocketjump,-,1,bot_rocketjump [0|1],Allows bots to rocket jump.,
bot_saveroutingcache,C,0,???,???,
bot_showAreaNumber,-,0,"bot_showAreaNumber [0|1]
1= enabled",???,
bot_showAreas,-,0,bot_showAreas [0|1],???,
bot_showAvoidSpots,-,0,bot_showAvoidSpots [0|1],???,
bot_showPath,-,0,bot_showPath [0|1],???,
bot_showTourPoints,-,0,bot_showTourPoints [0|1],???,
bot_startingSkill,A,1,"bot_startingSkill [1-5]
1 = I Can Win (easy)
2 = Bring It On
3 = Hurt Me Plenty (medium)
4 = Hardcore
5 = Nightmare (difficult)",The starting skill level of bots when bot_dynamicSkill 1.,
bot_teamkill,-,0,bot_teamkill [0|1],"When enabled, bots will shoot their team-mates in team game-types.",
bot_testclusters,C,0,bot_testclusters [0|1],Used for testing of bot AI clusters.,
bot_testichat,-,0,"bot_testichat [0|1]
0 = normal
1 = test initial chat",Used to test bot initial chat.,
bot_testrchat,-,0,"bot_testrchat [0|1]
1 = test reply chat",Used to test bot reply chat.,
bot_testsolid,C,0,bot_testsolid [0|1],Tests for solid areas in the AAS file.,
bot_thinktime,C,100,bot_thinktime [time in milliseconds],The time in milliseconds between two AI frames – The time it takes for a bot to think about a move before making it.,
bot_training,A,0,"bot_training [0|1]
1 = training mode",Sets server into training mode as used in the training match against crash.,
bot_visualizejumppads,C,0,bot_visualizejumppads [0|1],Forces bots to visualise the default arch of a jump pad.,
C,,,,,
capturelimit,S A,8,capturelimit [number],Sets amount of captures needed in Capture the Flag to win the match.,
cg_,-,-20.074.859.899.884.700,???,???,
cg_allowtaunt,A T,1,cg_allowtaunt [0|1],Allows gesture events and VO taunts client side.,
cg_animspeed,C,1,"cg_animspeed [0|1]
0 = disables player animations
1 = enabled player animations",Allows linear interpolation between frames in player model animations.,
cg_armorTiered,R,0,cg_armorTiered [0|1],A read-only client setting that is used for telling the HUD to color the armor icon according to the armor tier when armor_tiered is set to 1.,
cg_atmosphericEffects,A,1,cg_atmosphericEffects [0|1],Enables drawing of atmospheric effects such as snow and rain,
cg_autoAction,U A T,0,"cg_autoAction [0|1|2|3]
0 = do nothing
1 = enable auto demo recording
2 = enable auto screenshot
3 = enable auto demo recording and auto screenshot",Controls the automation of demo recording and final scoreboard screenshots.,
cg_autoProjectileNudge,A T,0,cg_autoProjectileNudge [0|1],???,
cg_autoswitch,A T,0,cg_autoswitch [0|1],Enables weapon auto-switch on pickup.,
cg_battlesuitKillCounter,A T,1,cg_battlesuitKillCounter [0|1],Enables Battle Suit frag counter while using a Battle Suit,
cg_blueTeam,-,-,cg_blueTeam [string],"Sets the name of the blue team for in team games, to draw to menu elements (HUD, scoreboard, about box, etc.)",
cg_blueTeamShort,-,-,cg_blueTeamShort [string],Blue team name acronym.,
cg_bob,A T,1,cg_bob [0.0-1.0],Controls view bobbing.,
cg_brassTime,A,2500,cg_brassTime [time in milliseconds],Time in milliseconds that bullets or shells are shown before disappearing.,
cg_bubbleTrail,A T,1,cg_bubbleTrail [0|1],Enables the drawing of bubble trails drawn by projectiles entering water.,
cg_buzzerSound,A T,1,cg_buzzerSound [0|1],Enables the end-game buzzer sound in all game types.,
cg_cameraOrbit,C,0,cg_cameraOrbit [increment],Changes the camera orbit rotation increment.,
cg_cameraOrbitDelay,A T,50,cg_cameraOrbitDelay [delay],Delay between increments of camera orbit rotation.,
cg_cameraSmartMode,C,1,???,???,
cg_cameraThirdPersonSmartMode,C,1,cg_cameraThirdPersonSmartMode [0|1],???,
cg_centertime,C,3,cg_centertime [time],Sets display time for center screen messages (0 to disable messages).,
cg_chatbeep,A T,1,cg_chatbeep [0|1],Controls the sound made when in-game chat messages are received.,
cg_chatHistoryLength,T,6,cg_chatHistoryLength <0 - 24>,sets the amount of chatlines,
cg_clanOnTeamOverlay,A T,0,"cg_clanOnTeamOverlay [0|1]
0 = hidden
1 = shown",Show clan tags in team overlay box.,
cg_compHud,A,0,cg_compHud [0|1],Enables the stream friendly HUD on private servers.,
cg_complaintWarning,A T,1,cg_complaintWarning [0|1],???,
cg_compmode,-,0,cg_compmode [0|1],Enables competition mode for private servers.,
cg_crosshairBrightness,A T,1,"cg_crosshairBrightness [0.0-1.0]
0.0 = darkest
1.0 = brightest",Brightness of the crosshair.,
cg_crosshairColor,A T,7,"cg_crosshairColor [1-26]
Uses the 26 Color Chart (see appendix)","Color of your crosshair, unless cg_crosshairhealth is set to 1.",
cg_crosshairHealth,A T,0,cg_crosshairHealth [0|1],Colors the crosshair to indicate your health status. (This overrides cg_crosshairColor),
cg_crosshairHitColor,A T,1,cg_crosshairHitColor [1-26],Controls crosshair color as applicable to the appropriate hits style controlled by cg_crosshairHitStyle.,
cg_crosshairHitStyle,A T,2,"cg_crosshairHitStyle [0-8]
0 = Off
1 = Colorize the crosshair based on damage dealt.
2 = Colorize the crosshair to color designated by cg_crosshairHitColor.
3 = Pulse the crosshair (exaggerated/scaled pulse)
4 = Colorize by damage and Pulse the crosshair.
5 = Colorize by cg_crosshairHitColor and Pulse the crosshair.
6 = Pulse the crosshair with a smaller pulse. (same size as the cg_crosshairPulse uses when picking items up)
7 = Colorize by damage and pulse with smaller pulse.
8 = Colorize by cg_crosshairHitColor and pulse with smaller pulse.",Allows the crosshair to indicate the damage dealt to other players.,
cg_crosshairHitTime,A T,200,cg_crosshairHitTime <time>,Sets the amount of time the crosshair hit effect is displayed for.,
cg_crosshairPulse,A T,1,cg_crosshairPulse [0|1],Allows pulsating effect of the crosshair when items are picked up.,
cg_crosshairSize,A T,32,cg_crosshairSize <size>,"Size of crosshair, measured in pixels.",
cg_crosshairTeamHealthSize,A T,0.12f,cg_crosshairTeamHealthSize <0.10f – 0.26f>,Allows the setting of the font size of the teammate health/armor read-out on teammate crosshair hovers.,
cg_crosshairX,A T,0,cg_crosshairX [-300 – 300],X-axis distance of crosshair from the center of the field of view,
cg_crosshairY,A T,0,cg_crosshairY [-220 – 220],Y-axis distance of crosshair from the center of the field of view.,
cg_currentSelectedPlayer,A,0,cg_currentSelectedPlayer [player],Selected team mate number for team commands.,
cg_currentSelectedPlayerName,A,-,cg_currentSelectedPlayerName,This shows the friendly player name that was last highlighted in your crosshair.,
cg_customAspect_X,A,0,cg_currentAspect_X [aspect],???,
cg_customAspect_Y,A,0,cg_currentAspect_Y [aspect],???,
cg_deadBodyColor,A T,0x101010FF,cg_deadBodyColor [hex color code],The color applied to bright model corpses as enabled in cg_deadbodydarken.,
cg_deadBodyDarken,A T,1,cg_deadBodyDarken [0|1],Darkens bright model corpses.,
cg_debuganim,C,0,cg_debuganim [0|1],Enables model animation debug mode.,
cg_debugevents,C,0,cg_debugevents [0|1],Enables event debug mode.,
cg_debugFlags,-,0,???,???,
cg_deferPlayers,A T,1,cg_deferPlayers [0|1],"Sets loading of player models at death or map change, disabling models loading when bringing up the scoreboard.",
cg_draw2D,A T,1,"cg_draw2D [0|1]
0 = No HUD
1 = Show HUD",Displays HUD elements.,
cg_draw3dIcons,A T,1,cg_draw3dIcons [0|1],Displays 3D HUD icons instead of 2D. It is not available in the default Quake Live HUD.,
cg_drawAmmoWarning,A T,1,"cg_drawAmmoWarning [0|1|2]
1 = Normal-Sized Text Warning
2 = Small-Sized Text Warning",Displays ‘low ammo’ and ‘out of ammo’ warnings.,
cg_drawAttacker,A T,0,cg_drawAttacker [0|1],Displays the name and icon of the last player to damage you.,
cg_drawCrosshair,A,5,"cg_drawCrosshair [0-10]
0 =
1 =
2 =
3 =
4 =
5 =
6 =
7 =
8 =
9 =
10 =",Displays the specified crosshair image.,
cg_drawCrosshairNames,A,1,"cg_drawCrosshairNames [0|1]

0 = disabled
1 = enabled
2 = enabled, also shows team mate health and armor when cg_drawCrosshairTeamHealth 1",Displays the names of target opponents.,
cg_drawCrosshairNamesOpacity,A T,0.75,"cg_drawCrosshairNamesOpacity <0.0-1.0>
0.0 = fully transparent (invisible)
1.0 = fully opaque",Sets the opacity of the crosshair names feature when cg_drawCrosshairNames 1 or 2,
cg_drawCrosshairTeamHealth,A T,2,"cg_drawCrosshairTeamHealth [0|1|2]
1 = setting 1
2 = setting 2",Displays team mate health and armor under their name when targeted.,
cg_drawFoe,C,0,cg_drawFoe [0|1],"enables the little red triangle above opponents' heads, like in the practice match against Crash",
cg_drawFPS,A T,0,cg_drawFPS [0|1],Displays the frames-per-second counter.,
cg_drawFragMessages,A T,1,cg_drawFragMessages [0|1],Displays frag messages on the top of the player view.,
cg_drawFriend,A T,1,cg_drawFriend [0|1],Displays blips above your team mates.,
cg_drawFullWeaponBar,A T,1,"cg_drawFullWeaponBar [0|1]
0 = Draw only currently held weapons on the weapon bar
1 = Draw all weapons available in the map on the weapon bar",Draws the full weapon bar.,
cg_drawGun,A T,1,"cg_drawGun [0|1|2]
1 = Normal (bobs when moving)
2 = Still",Controls the displaying of weapons in 1st person view.,
cg_drawIcons,A T,1,cg_drawIcons [0|1],Enables the drawing of icons in the HUD or scoreboard.,
cg_drawItemPickups,A T,3,"cg_drawItemPickups [0|&1|&2|&4]
&1 = draw icon
&2 = draw name
&4 = draw time
",Displays items that were recently picked up.,
cg_drawPregameMessages,-,1,"cg_drawPregameMessages [0|1]
1 = show messages in warmup rounds",Draw messages to the warmup heads-up display.,
cg_drawRewards,A T,1,"cg_drawRewards [0|1]
1 = show rewards","Displays rewards you have earned during the match, as you earn them.",
cg_drawSnapshot,A T,0,cg_drawSnapshot [0|1],Displays the snapshots counter with the time and frame.,
cg_drawSpawnLocations,A T ,0,cg_drawSpawnLocations [0|1],Possibly shows where player spawn points are located. Seems to be ineffectual.,
cg_drawSpecMessages,-,1,"cg_drawSpecMessages [0|1]
1 = show messages in spectator mode",Draw messages to the spectator heads-up display.,
cg_drawSprites,-,1,"cg_drawSprites [0|1]
1 = draw sprites",Show sprite elements.,
cg_drawStatus,A T,1,"cg_drawStatus [0|1]
1 = draw status",Draws the health and score elements of the HUD.,
cg_drawtargetnames,-,-,"cg_drawtargetnames [0|1]
1 = show target names",Draws the names of opponents when targeted.,
cg_drawTeamOverlay,A T,1,"cg_drawTeamOverlay [0|1|2]
1 = Top-right of view
2 = Bottom-right of view",Displays the team overlay. <0|1|2>,
cg_drawTeamOverlayOpacity,A T,0.75,"cg_drawTeamOverlayOpacity <opacity>
0.0 = Fully Transparent",Sets the opacity of the team overlay background.,
cg_drawTeamOverlayX,A T,0,cg_drawTeamOverlayX <value>,X-axis offset in respect of cg_drawteamoverlay 1 or 2. <-640/640>,
cg_drawTeamOverlayY,A T,0,cg_drawTeamOverlayY <value>,Y-axis offset in respect of cg_drawteamoverlay 1 or 2. <-480/480>,
cg_enableBreath,-,1,cg_enableBreath [0|1],Enables the drawing of ‘frosty’ breaths on player models to depict cold weather.,
cg_enableRespawnTimer,A,0,cg_enableRespawnTimer [0|1],"Draws the respawn timings of certain items (armor, megahealth, powerups) for spectators - on private servers only. This feature is dependent upon server-side shoutcaster privileges being enabled. Items are sorted by height according to their placement in the level for non-CTF games, and are sorted by team according to proximity from flag in CTF.",
cg_enemyColor,A,-,cg_enemyColor <hex color code>,Colorize bright enemy models. See appendix for common hex color codes.,
cg_enemyHeadColor,A T,0x408000FF,cg_enemyHeadColor <hex color code>,Colorize bright enemy model heads.  Replaces cg_enemyColor. See appendix for common hex color codes.,
cg_enemyLowerColor,A T,0x408000FF,cg_enemyLowerColor <hex color code>,Colorize bright enemy model legs.  Replaces cg_enemyColor. See appendix for common hex color codes.,
cg_enemyUpperColor,A T,0x408000FF,cg_enemyUpperColor <hex color code>,Colorize bright enemy model torso.  Replaces cg_enemyColor. See appendix for common hex color codes.,
cg_errordecay,-,100,cg_errordecay <0 – 100>,Detects prediction errors and helps to smooth these errors out over a few frames to ease jerking.,
cg_flagstyle,,1,cg_flagStyle [0|1],Changes the appearance of the flag. 1 - Classic Flag 2 - Holographic Flag,
cg_filter_angles,-,0,cg_filter_angles <amount>,"Alters how the player’s view camera changes in relation to aim position changes. When it is set to a value higher than 0, the view camera lags behind the player’s aim position, causing a mouse smoothing effect.",
cg_followKiller,-,0,cg_followKiller [0|1],"When enabled: In spectator mode, when a player scores a frag, the spectator view automatically switches to that player.",
cg_followPowerup,-,0,cg_followPowerup [0|1],"When enabled: In spectator mode, when a player obtains a powerup, the spectator view automatically switches to that player.",
cg_footsteps,C,1,cg_footsteps [0|1],Enables footstep sounds.,
cg_forceBlueTeamModel,A T,0,cg_forceBlueTeamModel [model],Force blue team player models to be displayed as a specific model. Used in spectator mode.,
cg_forceDrawCrosshair,A T,0,cg_forceDrawCrosshair [0|1],???,
cg_forceEnemyModel,A T,0,cg_forceEnemyModel [model],Force enemy team player models to be displayed as a specific model.,
cg_forceEnemyWeaponColor,A T,0,cg_forceEnemyWeaponColor [0|1],Force enemies' grenades and rails to use 'Enemy Upper Color' (cg_enemyUpperColor).,
cg_forceModel,-,0,cg_forceModel [model],Force all player models to be displayed as a specific model.,
cg_forceRedTeamModel,A T,0,cg_forceRedTeamModel [model],Force red team player models to be displayed as a specific model. Used in spectator mode.,
cg_forceTeamModel,A T,0,cg_forceTeamModel [model],Force team mate player models to be displayed as a specific model.,
cg_forceTeamSkin,,"""""",cg_forceTeamSkin [skin],When forceTeamModel is not set this cvar will force other players to use a specific version of their model such as "bright" or "sport". Use blank "" to turn off,
cg_forceTeamWeaponColor,A T,0,cg_forceTeamWeaponColor [0|1],Force teammates’ grenades and rails to use 'Team Upper Color' (cg_teamUpperColor).,
cg_fov,A T,100,cg_fov <10 - 130>,Field of view factor.,
cg_gameInfo1,R A,0,cg_gameInfo1 [string],Contains the text which is displayed on the welcome screen describing the game type.,
cg_gameInfo2,R A,0,cg_gameInfo2 [string],Contains the text which is displayed on the welcome screen describing the game type.,
cg_gameInfo3,R A,0,cg_gameInfo3 [string],Contains the text which is displayed on the welcome screen describing the game type.,
cg_gameInfo4,R A,0,cg_gameInfo4 [string],Contains the text which is displayed on the welcome screen describing the game type.,
cg_gameInfo5,R A,0,cg_gameInfo5 [string],Contains the text which is displayed on the welcome screen describing the game type.,
cg_gameInfo6,R A,0,cg_gameInfo6 [string],Contains the text which is displayed on the welcome screen describing the game type.,
cg_gametype,R A,0,cg_gametype <number>,Used as a game type test for adapting the UI to the specific game type.,
cg_gibs,A T,10,"cg_gibs <amount>
Min = 0
Max = 15","When the player is killed beyond a certain amount of health they will be ""gibbed"", that is explode into sparks.",
cg_gunX,A T,0,cg_gunX <-10 – 10>,X-axis displacement of weapon in 1st person view.,
cg_gunY,A T,0,cg_gunY <-10 – 20>,Y-axis displacement of weapon in 1st person view.,
cg_gunZ,A T,0,cg_gunZ <-8 – 0>,Z-axis displacement of weapon in 1st person view.,
cg_hitBeep,A T,2,"cg_hitBeep [0|1|2|3]
1 = Single-Tone
2 = Multi-Tone
3 = Reverse Multi-Tone",Controls the sound made when you damage an opponent.,
cg_hudFiles,A,ui/hud.txt,cg_hudFiles <file name>,Points to the file which controls the heads-up display. Note: You need to use the ‘loadhud’ command when changing HUD file if you wish to change HUD in-game.,
cg_ignoreMouseInput,R,0,cg_ignoreMouseInput [0|1],Disables mouse usage.,
cg_impactMarkTime,A T,10000,cg_impactMarkTime <0 – 10000>,Sets the amount of time in which impact marks are drawn for.,
cg_impactSparks,A T,1,cg_impactSparks [0|1],Causes the enemy to spark when they are hit by any non-explosive weapons. <0|1>,
cg_impactSparksLifetime,A T,250,cg_impactSparksLifetime <0 – 1000>,Time in milliseconds before impact sparks fade out.,
cg_impactSparksSize,A T,8,cg_impactSparksSize <2 – 16>,Adjust the size of the impact sparks.,
cg_impactSparksVelocity,A T,128,cg_impactSparksVelocity <-128 – 128>,Speed in which impactSparks gravitate up or down.,
cg_itemFx,T,7,"cg_itemFx [0|1|2|4]
0 = static
1 = bounce
2 = rotating
4 = scale
",Changes how items are rendered in the world. Sum it up ti combine it.,
cg_kickScale,A T,1,cg_kickscale [0|1],Screen shakes when hit.,
cg_killBeep,A T,0,"cg_killBeep [0-8]

0 = disabled
1 = Ting
2 = Tink
3 = Dramatic
4 = Voosh
5 = Drum
6 = Bang
7 = Ding
8 = ChaChing",Plays a distinct sound when you score a kill in any mode [SUBSCRIBERS ONLY],
cg_lagometer,A T,0,"cg_lagometer [0|1|2]
1 = Show netgraph
2 = Show netgraph + client ping estimation.","Displays netgraph that shows your network packet traffic including received, rejected and lost packets.",
cg_lastmsg,R A,-,cg_lastmsg,Displays last chat message received from the XMPP system.,
cg_levelTimerDirection,A T,1,"cg_levelTimerDirection [0|1]
0 = Count up to time limit
1 = Count down to zero",The counting direction of the timer.,
cg_lightningImpact,A T,1,cg_lightningImpact [0|1],Enables lightning impact affect on surfaces by lightning gun.,
cg_lightningImpactCap,T,192,cg_lightningImpactCap [0 – 768],Change the size of the lightning impact effect when impact is closer than x units.,
cg_lightningStyle,A T,1,"cg_lightningStyle [1|2|3|4|5]
1 = Default Q3/QL
2 = QuakeWorld inspired
3 = Team Arena shaft
4 = Thin shaft
5 = Wide beam (Q3 style)",Controls the lightning stream effect.,
cg_lowAmmoWarningPercentile,A T,0.2,"cg_lowAmmoWarningPercentile <percentile>
Min: 0.01 (1%)
Max: 1.00 (100%)",Controls percentile level of ammo available before issuing a low ammo warning.,
cg_lowAmmoWarningSound,A T,1,"cg_lowAmmoWarningSound [0|1|2]
0 = Disabled
1 = Low Ammo Clip Reload Sound played for Low Ammo, No Ammo Click Sound played for No Ammo
2 = No Ammo Click Sound played for both Low and No Ammo ",Controls the playing of low ammo warning sounds.,
cg_lowAmmoWeaponBarWarning,A T,2,"cg_lowAmmoWeaponBarWarning [0|1|2]
1 = Draw weapon bar ammo value in red when empty
2 = Draw weapon bar ammo value in yellow when low and red when empty",Controls the weapon bar ammo warning display.,
cg_marks,A,1,cg_marks [0|1],Enables projectile decal marks on walls.,
cg_muzzleFlash,A T,1,cg_muzzleFlash [0|1],Shows a muzzle flash when firing a weapon.,
cg_noplayeranims,C,0,"cg_noplayeranims [0|1]
0 = All animations
1 = No animations","Disables player model animations, showing only the 1st frame in the models animation sequence.",
cg_nopredict,T,0,"cg_nopredict [0|1]
0 = server-player prediction
1 = no player prediction","A value of 1 will provide more accurate pickup notification sounds, however at the cost of potentially delayed playback.",
cg_plasmaStyle,A T,1,"cg_plasmaStyle [1|2]
1 = No Trail
2 = Particle Trail",Controls the plasma effect.,
cg_playerBBModelScale,C,1.1,cg_playerBBModelScale <scale>,Player model bounding box scale.,
cg_playerLean,A,1,"cg_playerLean <0.0-1.0>
0.0    = disabled
1.0    = maximum lean",Scales or disables the player lean effect caused by high velocities.,
cg_playerNames,A T,1,cg_playerNames [0|1],"Draw targeted player names while in spectator mode, both in freecam and first-person mode.",
cg_playTeamVO,A T,1,cg_playTeamVO [0|1],Enables team voice chats.,
cg_playvoicechats,A T,1,cg_playvoicechats [0|1],Enables voice chats.,
cg_predictItems,U A,1,cg_predictItems [0|1],Client prediction for picking up items.,
cg_predictLocalRailshots,-,1,cg_predictLocalRailShots [0|1],A value of 0 will feel less responsive in high ping environments but may prevent wrongly predicted rail shots and/or impacts.,
cg_premium,R,1,cg_premium [0|1],???,
cg_projectileNudge,A,0,cg_projectileNudge <0 - 80>,???,
cg_quadKillCounter,A T ,1,cg_quadKillCounter [0|1],Enables Quad Damage frag counter for Quad runs,
cg_railStyle,A T,1,"cg_railStyle [1|2]
1 = Rail core rail trail
2 = Spiral rail trail",Controls the railgun trail effect.,
cg_railTrailTime,A T,400,cg_railTrailTime <time>,The time (in milliseconds) that rail trails are displayed for.,
cg_readyIcon,A T,0,cg_readyIcon [0|1],???,
cg_redTeam,-,-,cg_redTeam [string],"Sets the name of the red team for in team games, to draw to menu elements (HUD, scoreboard, about box, etc.)",
cg_redTeamShort,-,-,cg_redTeamShort [string],Red team name acronym.,
cg_respawnTimerX,A T,10,cg_respawnTimerX <position>,Controls the x-axis position of where spectator respawn timers are drawn.,
cg_respawnTimerY,A T,100,cg_respawnTimerY <position>,Controls the y-axis position of where spectator respawn timers are drawn.,
cg_restrictFeatures,C,0,???,???,
cg_rewardsvo,,1,cg_rewardsVO [0|1],"When set to 1 voice chats related to awards will be played. These include ""Excellent!"" and ""Impressive!"".",
cg_rocketStyle,A T,1,"cg_rocketStyle [1|2]
1 = No Plume
2 = Fire Plume",Controls the rocket trail effect.,
cg_scalePlayerModelsToBB,C,1,cg_scalePlayerModelsToBB [0|1],Scales player models to bounding box size as set by cg_playerBBModelScale,
cg_scorePlums,A T,1,cg_scorePlums [0|1],Show floating score plums.,
cg_screenDamage,A T,0x700000C8,cg_screenDamage <hex color code>,"Colorizes the on-screen damage indicator, use ""cg_screenDamage 0"" to disable. See hex color code sheet in appendix for common color options.",
cg_screenDamage_Self,A T,0x00000000,cg_screenDamage_Self <hex color code>,"Colorizes the on-screen self-damage indicators, use “cg_screenDamage_Self 0” to disable. See hex color code sheet in appendix for common color options.",
cg_screenDamage_Team,A T,0x700000C8,cg_screenDamage_Team <hex color code>,"Colorizes the on-screen team-damage indicators, use ""cg_screenDamage_Team 0"" to disable. See hex color code sheet in appendix for common color options.",
cg_screenDamageAlpha,A T,0x00000000,cg_screenDamageAlpha <hex code>,Sets the transparency of the on-screen damage indicators.,
cg_screenDamageAlpha_Team,A T,0x700000C8,cg_screenDamageAlpha_Team <hex code>,Sets the transparency of the on-screen team damage indicators,
cg_selectedPlayer,A,-,cg_selectedPlayer <number>,Selects a team member (by team mate number) to issue/confirm orders to/from.,
cg_selectedPlayerName,A,-,cg_selectedPlayerName [team member name],Selects a team member (by name) to issue/confirm orders to/from.,
cg_selfOnTeamOverlay,A T,0,cg_selfOnTeamOverlay [0|1],Show yourself on your team overlay. Requires enabling cg_drawteamoverlay.,
cg_shadows,A T,1,"cg_shadows [0|1]
0 = No shadows
1 = Shadows",Draws a blob type shadow underneath the player.,
cg_showmiss,A T,0,cg_showmiss [0|1],Displays missed packets and predictions on the HUD.,
cg_showVoiceText,A T,1,cg_showvoicetext [0|1],Show corresponding text with VO’s.,
cg_simpleItems,A T,0,cg_simpleItems [0|1],Replace 3D world items with 2D icons,
cg_simpleItemsRadius,T,15,cg_simpleItemsRadius [8 – 22],Scales the icon size of items when cg_simpleItems 1.,
cg_smoke_SG,A T,1,cg_smoke_SG [0|1],Enables the drawing of smoke puffs when firing the shotgun.,
cg_smokeRadius_dust,T,24,cg_smokeRadius_dust [0 – 32],Scales the size of smoke plumes from ground dust.,
cg_smokeRadius_flight,T,8,cg_smokeRadius_flight [0 – 16],Scales the size of smoke plumes in flight trails.,
cg_smokeRadius_GL,A T,64,cg_smokeRadius_GL <size>,Scales the size of the grenade and proximity mine smoke plumes.,
cg_smokeRadius_haste,T,8,cg_smokeRadius_haste [0 – 16],Scales the size of smoke plumes in haste trails.,
cg_smokeRadius_NG,A T,16,cg_smokeRadius_NG <size>,Scales the size of the nailgun smoke plumes.,
cg_smokeRadius_RL,A T,32,cg_smokeRadius_RL <size>,Scales the size of the rocket smoke plumes.,
cg_smoothClients,A,0,cg_smoothClients [0|1],Smooth out other players’ movement when they experience packet loss.,
cg_specOnly,U A,0,???,???,
cg_speedometer,A T,0,"cg_speedometer [0|1|2|3]
1 = lag-o-meter style graph
2 = value and graph under crosshair
3 = value under crosshair",Enables displaying of speedometer for monitoring of player’s horizontal velocity.,
cg_stats,T,0,cg_stats [0|1],Displays client frames in sequence with the exception of missed frames.,
cg_stereoSeparation,A,0.4,cg_stereoSeparation <amount>,Stereo separation – splits color channels.,
cg_swingSpeed,C,0.3,cg_swingSpeed <speed>,Speed in which player models rotate to match the player’s view.,
cg_switchOnEmpty,A T,1,cg_switchOnEmpty [0|1],Automatically switch to highest numbered weapon with ammo when attempting to fire a weapon that is out of ammo.,
cg_switchToEmpty,A T,1,cg_switchToEmpty [0|1],Enables the ability to switch to weapons that have no ammo.,
cg_teamChatBeep,A T,1,cg_teamChatBeep [0|1],Enable/disable sound that is played for incoming team messages.,
cg_teamChatHeight,A T,0,cg_teamChatHeight <rows>,Number of rows of team chat that is shown at a time. Not applicable for Quake Live’s interface.,
