A,,,,
unaliasall,-,-,unaliasall,Clears all aliases.
unbind,-,-,unbind <key>,Unbind a binded key.
unbindall,-,-,unbindall,Unbinds all key binds.
unblock,-,-,unblock [playername],Unblocks a blocked player.
userinfo,-,-,userinfo,Lists user information.
V,,,,
vid_restart,-,-,vid_restart,Restarts video system.
viewpos,-,-,viewpos,"Displays player coordinates in map, in the form of: (X Y Z) : XY-Angle"
vosay,-,-,vosay <voice script>,General voice communication.
vosay_team,-,-,vosay_team <voice script>,Team voice communication.
vote,-,-,"vote <y/n>
yes = yes vote
no = no vote",Sets your vote for the current vote calling.
votell,-,-,votell [message],Voice chat to a player.
vsay,-,-,vosay [message],Voice chat to all players.
vsay_team,-,-,vsay_team [message],Voice chat to team.
vstr,-,-,vstr [name],Execute a specific VSTR.
vtaunt,-,-,vtaunt [message],Voice taunt to all players.
vtell,-,-,vtell [message],Voice chat to a specific player.
vtell_attacker,-,-,vtell_attacker [message],Voice chat to attacker.
vtell_target,-,-,vtell_target [message],Voice chat to target player.
W,,,,
wait,-,-,"wait <delay>
(if none set, delay = 1)",Frame delay for remaining buffered commands.
weapnext,-,-,weapnext,"Selects next weapon in weapon cycle (by default, no weapons without ammo are selected, including gauntlet)."
weapon,-,-,"weapon [1-13]
1 = gauntlet
2 = machine gun
3 = shotgun
4 = grenade launcher
5 = rocket launcher
6 = lightning gun
7 = railgun
8 = plasmagun
9 = BFG10K
10 = grappling hook
11 = nailgun
12 = proximity mine launcher
13 = chaingun",Selects a specific weapon.
weapprev,-,-,weapprev,"Selects previous weapon in weapon cycle (by default, no weapons without ammo are selected, including gauntlet)."
writeconfig,-,-,writeconfig [<configname>.cfg],Writes settings to a configuration file.
